t,roll,pitch,roll_rate,pitch_rate,FL_x,FL_y,FL_z,FR_x,FR_y,FR_z,RL_x,RL_y,RL_z,RR_x,RR_y,RR_z
11.681,-4.65,-3.21,-11.95,-12.21,0.0195,0.0800,-0.1629,-0.0257,-0.0800,-0.1667,-0.0182,0.0800,-0.1733,0.0275,-0.0800,-0.1771
11.710,-4.75,-3.52,2.64,2.46,0.0168,0.0800,-0.1623,-0.0290,-0.0800,-0.1656,-0.0206,0.0800,-0.1732,0.0237,-0.0800,-0.1777
11.740,-4.83,-3.62,16.85,20.23,0.0141,0.0800,-0.1621,-0.0252,-0.0800,-0.1579,-0.0179,0.0800,-0.1657,0.0198,-0.0800,-0.1779
11.770,-4.88,-3.79,2.15,-1.30,0.0114,0.0800,-0.1618,-0.0209,-0.0800,-0.1513,-0.0149,0.0800,-0.1597,0.0160,-0.0800,-0.1782
11.800,-4.92,-3.92,7.90,10.75,0.0087,0.0800,-0.1616,-0.0163,-0.0800,-0.1462,-0.0116,0.0800,-0.1550,0.0122,-0.0800,-0.1784
11.830,-4.87,-3.87,32.95,12.93,0.0059,0.0800,-0.1617,-0.0114,-0.0800,-0.1426,-0.0081,0.0800,-0.1513,0.0084,-0.0800,-0.1783
11.860,-4.49,-3.56,52.10,27.25,0.0032,0.0800,-0.1624,-0.0062,-0.0800,-0.1407,-0.0044,0.0800,-0.1487,0.0045,-0.0800,-0.1776
11.890,-3.70,-3.02,67.65,49.08,0.0005,0.0800,-0.1636,-0.0010,-0.0800,-0.1404,-0.0007,0.0800,-0.1472,0.0007,-0.0800,-0.1764
11.920,-3.18,-2.11,-10.92,48.63,-0.0022,0.0800,-0.1652,0.0043,-0.0800,-0.1420,0.0031,0.0800,-0.1464,-0.0031,-0.0800,-0.1748
11.950,-2.99,-1.48,-19.67,-22.81,-0.0049,0.0800,-0.1664,0.0095,-0.0800,-0.1448,0.0067,0.0800,-0.1472,-0.0070,-0.0800,-0.1736
11.980,-2.10,-1.44,58.15,-34.42,-0.0076,0.0800,-0.1668,0.0145,-0.0800,-0.1476,0.0103,0.0800,-0.1506,-0.0108,-0.0800,-0.1732
12.010,-1.47,-1.75,49.43,-53.76,-0.0104,0.0800,-0.1665,0.0192,-0.0800,-0.1513,0.0137,0.0800,-0.1558,-0.0146,-0.0800,-0.1735
12.040,-1.03,-2.10,13.41,-19.74,-0.0131,0.0800,-0.1661,0.0237,-0.0800,-0.1564,0.0168,0.0800,-0.1624,-0.0185,-0.0800,-0.1739
12.071,-0.72,-2.14,-2.64,25.58,-0.0158,0.0800,-0.1662,0.0277,-0.0800,-0.1634,0.0197,0.0800,-0.1698,-0.0223,-0.0800,-0.1738
12.101,-0.50,-1.86,-19.40,31.93,-0.0186,0.0800,-0.1668,0.0270,-0.0800,-0.1672,0.0192,0.0800,-0.1728,-0.0262,-0.0800,-0.1732
12.131,-0.35,-1.30,-25.71,36.48,-0.0203,0.0800,-0.1662,0.0232,-0.0800,-0.1680,0.0165,0.0800,-0.1720,-0.0286,-0.0800,-0.1707
12.160,-0.25,-0.91,-30.41,16.73,-0.0175,0.0800,-0.1594,0.0194,-0.0800,-0.1686,0.0138,0.0800,-0.1714,-0.0247,-0.0800,-0.1626
12.190,-0.84,-0.64,-42.11,8.05,-0.0145,0.0800,-0.1535,0.0156,-0.0800,-0.1693,0.0111,0.0800,-0.1707,-0.0204,-0.0800,-0.1563
12.221,-1.33,-0.45,2.94,-9.36,-0.0111,0.0800,-0.1488,0.0117,-0.0800,-0.1698,0.0083,0.0800,-0.1702,-0.0157,-0.0800,-0.1513
12.250,-1.65,-0.31,9.13,-14.52,-0.0076,0.0800,-0.1454,0.0079,-0.0800,-0.1702,0.0056,0.0800,-0.1698,-0.0108,-0.0800,-0.1478
12.280,-1.92,-0.22,-4.76,-17.49,-0.0040,0.0800,-0.1434,0.0041,-0.0800,-0.1704,0.0029,0.0800,-0.1696,-0.0056,-0.0800,-0.1457
12.310,-2.29,-0.15,-20.80,-29.82,-0.0003,0.0800,-0.1426,0.0003,-0.0800,-0.1707,0.0002,0.0800,-0.1693,-0.0004,-0.0800,-0.1449
12.340,-2.61,-0.44,-19.01,-39.73,0.0035,0.0800,-0.1425,-0.0036,-0.0800,-0.1703,-0.0025,0.0800,-0.1697,0.0049,-0.0800,-0.1461
12.370,-3.04,-0.89,-27.86,-24.55,0.0071,0.0800,-0.1436,-0.0074,-0.0800,-0.1698,-0.0052,0.0800,-0.1702,0.0101,-0.0800,-0.1490
12.400,-3.48,-1.37,-13.27,-9.81,0.0107,0.0800,-0.1459,-0.0112,-0.0800,-0.1692,-0.0080,0.0800,-0.1708,0.0151,-0.0800,-0.1532
12.430,-3.90,-1.94,-11.63,-22.49,0.0140,0.0800,-0.1494,-0.0150,-0.0800,-0.1684,-0.0107,0.0800,-0.1716,0.0198,-0.0800,-0.1589
12.460,-4.23,-2.40,-21.87,-4.34,0.0171,0.0800,-0.1544,-0.0189,-0.0800,-0.1678,-0.0134,0.0800,-0.1722,0.0242,-0.0800,-0.1657
12.490,-4.46,-2.66,11.40,10.19,0.0199,0.0800,-0.1612,-0.0227,-0.0800,-0.1675,-0.0161,0.0800,-0.1725,0.0281,-0.0800,-0.1735
12.520,-4.61,-2.87,11.58,-0.17,0.0189,0.0800,-0.1634,-0.0265,-0.0800,-0.1672,-0.0188,0.0800,-0.1728,0.0267,-0.0800,-0.1766
12.550,-4.64,-2.86,13.30,16.54,0.0162,0.0800,-0.1634,-0.0282,-0.0800,-0.1648,-0.0200,0.0800,-0.1704,0.0228,-0.0800,-0.1766
12.580,-4.63,-2.95,8.82,4.07,0.0135,0.0800,-0.1633,-0.0243,-0.0800,-0.1573,-0.0172,0.0800,-0.1632,0.0190,-0.0800,-0.1767
12.610,-4.52,-2.99,7.49,5.51,0.0108,0.0800,-0.1633,-0.0199,-0.0800,-0.1512,-0.0141,0.0800,-0.1573,0.0152,-0.0800,-0.1767
12.640,-4.45,-3.05,8.31,8.87,0.0080,0.0800,-0.1632,-0.0152,-0.0800,-0.1465,-0.0108,0.0800,-0.1528,0.0113,-0.0800,-0.1768
12.670,-4.23,-2.89,31.77,24.13,0.0053,0.0800,-0.1635,-0.0102,-0.0800,-0.1433,-0.0073,0.0800,-0.1493,0.0075,-0.0800,-0.1765
12.700,-3.72,-2.45,53.15,39.06,0.0026,0.0800,-0.1645,-0.0051,-0.0800,-0.1419,-0.0036,0.0800,-0.1469,0.0037,-0.0800,-0.1755
12.730,-3.31,-1.71,-1.00,28.51,-0.0001,0.0800,-0.1659,0.0002,-0.0800,-0.1423,0.0001,0.0800,-0.1452,-0.0001,-0.0800,-0.1741
12.760,-3.22,-1.20,-23.52,-23.52,-0.0028,0.0800,-0.1667,0.0054,-0.0800,-0.1438,0.0038,0.0800,-0.1451,-0.0040,-0.0800,-0.1733
12.790,-3.21,-1.29,6.48,-34.44,-0.0055,0.0800,-0.1666,0.0106,-0.0800,-0.1457,0.0075,0.0800,-0.1473,-0.0078,-0.0800,-0.1734
12.820,-2.67,-1.65,58.75,-35.44,-0.0082,0.0800,-0.1662,0.0155,-0.0800,-0.1483,0.0110,0.0800,-0.1515,-0.0116,-0.0800,-0.1738
12.850,-2.22,-1.91,10.32,-16.58,-0.0109,0.0800,-0.1660,0.0202,-0.0800,-0.1524,0.0143,0.0800,-0.1569,-0.0154,-0.0800,-0.1740
12.880,-1.98,-2.17,-15.26,5.61,-0.0137,0.0800,-0.1657,0.0246,-0.0800,-0.1580,0.0174,0.0800,-0.1635,-0.0192,-0.0800,-0.1743
12.910,-1.75,-2.23,4.19,16.95,-0.0164,0.0800,-0.1656,0.0285,-0.0800,-0.1652,0.0202,0.0800,-0.1711,-0.0231,-0.0800,-0.1744
12.940,-1.57,-2.15,-6.79,14.02,-0.0191,0.0800,-0.1658,0.0263,-0.0800,-0.1671,0.0186,0.0800,-0.1729,-0.0269,-0.0800,-0.1742
12.971,-1.77,-1.97,-44.00,20.03,-0.0197,0.0800,-0.1627,0.0223,-0.0800,-0.1675,0.0159,0.0800,-0.1725,-0.0277,-0.0800,-0.1706
13.001,-2.36,-1.38,-50.34,24.84,-0.0169,0.0800,-0.1563,0.0185,-0.0800,-0.1687,0.0131,0.0800,-0.1713,-0.0238,-0.0800,-0.1627
13.031,-2.86,-0.97,-3.15,18.55,-0.0137,0.0800,-0.1509,0.0147,-0.0800,-0.1696,0.0104,0.0800,-0.1704,-0.0194,-0.0800,-0.1564
13.061,-3.04,-0.68,24.55,-29.16,-0.0103,0.0800,-0.1468,0.0109,-0.0800,-0.1701,0.0077,0.0800,-0.1699,-0.0146,-0.0800,-0.1515
13.091,-3.25,-0.47,-14.18,5.50,-0.0068,0.0800,-0.1439,0.0070,-0.0800,-0.1706,0.0050,0.0800,-0.1694,-0.0096,-0.0800,-0.1481
13.121,-3.33,-0.33,8.19,-11.89,-0.0031,0.0800,-0.1423,0.0032,-0.0800,-0.1708,0.0023,0.0800,-0.1692,-0.0044,-0.0800,-0.1461
13.151,-3.38,-0.23,-2.94,-17.13,0.0006,0.0800,-0.1420,-0.0006,-0.0800,-0.1710,-0.0004,0.0800,-0.1690,0.0008,-0.0800,-0.1455
13.181,-3.46,-0.16,-16.65,-23.42,0.0044,0.0800,-0.1430,-0.0045,-0.0800,-0.1711,-0.0032,0.0800,-0.1689,0.0062,-0.0800,-0.1464
13.211,-3.78,-0.57,-35.52,-38.37,0.0080,0.0800,-0.1445,-0.0084,-0.0800,-0.1706,-0.0059,0.0800,-0.1694,0.0113,-0.0800,-0.1494
13.241,-4.14,-1.08,-19.72,-18.71,0.0116,0.0800,-0.1471,-0.0122,-0.0800,-0.1699,-0.0087,0.0800,-0.1701,0.0163,-0.0800,-0.1540
13.271,-4.40,-1.60,-12.91,-14.94,0.0148,0.0800,-0.1511,-0.0160,-0.0800,-0.1692,-0.0114,0.0800,-0.1708,0.0209,-0.0800,-0.1599
13.301,-4.58,-2.06,-11.54,-8.67,0.0179,0.0800,-0.1565,-0.0198,-0.0800,-0.1685,-0.0141,0.0800,-0.1715,0.0252,-0.0800,-0.1670
13.331,-4.71,-2.40,6.71,1.59,0.0206,0.0800,-0.1636,-0.0237,-0.0800,-0.1680,-0.0168,0.0800,-0.1720,0.0290,-0.0800,-0.1753
13.361,-4.79,-2.57,8.97,8.57,0.0182,0.0800,-0.1639,-0.0275,-0.0800,-0.1678,-0.0195,0.0800,-0.1722,0.0257,-0.0800,-0.1761
