t,roll,pitch,dz_fl,dz_fr,dz_rl,dz_rr
15.4091,0.113,-1.003,0.02341,0.02939,-0.02939,-0.02341
15.4397,0.136,-1.203,0.02289,0.02888,-0.02888,-0.02289
15.4705,0.081,-1.294,0.02234,0.02832,-0.02832,-0.02234
15.5032,0.066,-1.323,0.02178,0.02776,-0.02776,-0.02178
15.5338,0.029,-1.403,0.02118,0.02716,-0.02716,-0.02118
15.5645,0.019,-1.422,0.02057,0.02655,-0.02655,-0.02057
15.5951,0.006,-1.521,0.01992,0.0259,-0.0259,-0.01992
15.6256,-0.007,-1.593,0.01924,0.02522,-0.02522,-0.01924
15.6569,-0.039,-1.637,0.01854,0.02453,-0.02453,-0.01854
15.6876,-0.027,-1.618,0.01785,0.02384,-0.02384,-0.01785
15.7206,-0.113,-1.576,0.01718,0.02316,-0.02316,-0.01718
15.7518,-0.184,-1.519,0.01653,0.02252,-0.02252,-0.01653
15.7823,-0.293,-1.386,0.01594,0.02192,-0.02192,-0.01594
15.8127,-0.445,-1.137,0.01546,0.02144,-0.02144,-0.01546
15.8447,-0.513,-0.808,0.01539,0.02082,-0.02082,-0.01539
15.8753,-0.665,-0.705,0.01544,0.02017,-0.02017,-0.01544
15.9059,-0.813,-0.663,0.01559,0.01945,-0.01945,-0.01559
15.9379,-0.84,-0.637,0.01577,0.01873,-0.01873,-0.01577
15.9683,-0.76,-0.653,0.01589,0.01804,-0.01804,-0.01589
15.9988,-0.733,-0.881,0.01591,0.01728,-0.01728,-0.01591
16.0299,-0.684,-1.015,0.01584,0.01648,-0.01648,-0.01584
16.0603,-0.65,-1.122,0.01571,0.01565,-0.01565,-0.01571
16.0909,-0.579,-1.249,0.01549,0.01481,-0.01481,-0.01549
16.1218,-0.49,-1.356,0.01491,0.01423,-0.01423,-0.01491
16.1521,-0.501,-1.491,0.01454,0.01333,-0.01333,-0.01454
16.1825,-0.449,-1.703,0.01381,0.0126,-0.0126,-0.01381
16.2129,-0.41,-1.702,0.01309,0.01188,-0.01188,-0.01309
16.2458,-0.34,-1.737,0.01234,0.01114,-0.01114,-0.01234
16.2763,-0.231,-1.677,0.01163,0.01042,-0.01042,-0.01163
16.3072,-0.205,-1.636,0.01093,0.00972,-0.00972,-0.01093
16.3404,-0.172,-1.648,0.01023,0.00902,-0.00902,-0.01023
16.3709,-0.216,-1.71,0.0095,0.00829,-0.00829,-0.0095
16.4035,-0.314,-1.749,0.00875,0.00754,-0.00754,-0.00875
16.4343,-0.352,-1.628,0.00806,0.00685,-0.00685,-0.00806
16.4646,-0.355,-1.543,0.0074,0.00619,-0.00619,-0.0074
16.4955,-0.419,-1.585,0.00672,0.00552,-0.00552,-0.00672
16.5261,-0.48,-1.684,0.006,0.0048,-0.0048,-0.006
16.5564,-0.525,-1.736,0.00554,0.00378,-0.00378,-0.00554
16.5875,-0.601,-1.735,0.00512,0.00272,-0.00272,-0.00512
16.6178,-0.674,-1.611,0.0048,0.00167,-0.00167,-0.0048
16.648,-0.748,-1.554,0.00453,0.00061,-0.00061,-0.00453
16.6787,-0.7,-1.629,0.00421,-0.00046,0.00046,-0.00421
16.7118,-0.696,-1.71,0.00385,-0.00156,0.00156,-0.00385
16.7424,-0.818,-1.699,0.00356,-0.00272,0.00272,-0.00356
16.7744,-0.722,-1.709,0.00322,-0.00384,0.00384,-0.00322
16.8047,-0.663,-1.679,0.00286,-0.00491,0.00491,-0.00286
16.8353,-0.664,-1.78,0.00245,-0.00602,0.00602,-0.00245
16.8665,-0.528,-1.915,0.00192,-0.00712,0.00712,-0.00192
16.8971,-0.367,-1.927,0.00109,-0.00794,0.00794,-0.00109
16.9276,-0.209,-2.021,0.00023,-0.0088,0.0088,-0.00023
16.9595,-0.113,-1.999,-0.00062,-0.00966,0.00966,0.00062
16.9902,-0.039,-2.087,-0.00151,-0.01055,0.01055,0.00151
17.0206,0.092,-2.034,-0.00238,-0.01142,0.01142,0.00238
17.0516,0.186,-2.03,-0.00325,-0.01228,0.01228,0.00325
17.0848,0.255,-1.934,-0.00407,-0.01311,0.01311,0.00407
17.115,0.224,-1.882,-0.00487,-0.01391,0.01391,0.00487
17.146,0.214,-1.827,-0.00565,-0.01469,0.01469,0.00565
17.1764,0.257,-1.886,-0.00646,-0.01549,0.01549,0.00646
17.2066,0.211,-1.88,-0.00726,-0.0163,0.0163,0.00726
17.2376,0.131,-1.805,-0.00803,-0.01707,0.01707,0.00803
17.2679,0.062,-1.649,-0.00873,-0.01777,0.01777,0.00873
17.2985,-0.082,-1.539,-0.00939,-0.01843,0.01843,0.00939
17.3298,-0.206,-1.585,-0.01007,-0.0191,0.0191,0.01007
17.3627,-0.458,-1.614,-0.01076,-0.01979,0.01979,0.01076
17.3928,-0.558,-1.587,-0.01114,-0.02077,0.02077,0.01114
17.4256,-0.67,-1.624,-0.01147,-0.02182,0.02182,0.01147
17.456,-0.718,-1.485,-0.01172,-0.02283,0.02283,0.01172
17.4861,-0.624,-1.433,-0.012,-0.02378,0.02378,0.012
17.5182,-0.616,-1.304,-0.01223,-0.02466,0.02466,0.01223
17.5512,-0.704,-1.359,-0.01243,-0.02562,0.02562,0.01243
17.5815,-0.573,-1.378,-0.01272,-0.02651,0.02651,0.01272
17.6144,-0.449,-1.274,-0.01326,-0.02705,0.02705,0.01326
17.6444,-0.276,-1.2,-0.01377,-0.02757,0.02757,0.01377
17.6747,-0.185,-1.044,-0.01422,-0.02801,0.02801,0.01422
17.7078,-0.021,-1.084,-0.01468,-0.02847,0.02847,0.01468
17.738,0.179,-1.053,-0.01513,-0.02892,0.02892,0.01513
17.7685,0.299,-0.995,-0.01555,-0.02935,0.02935,0.01555
17.7988,0.339,-0.886,-0.01593,-0.02973,0.02973,0.01593
17.8287,0.435,-0.7,-0.01623,-0.03002,0.03002,0.01623
17.8587,0.568,-0.69,-0.01683,-0.03002,0.03002,0.01683
17.8915,0.683,-0.665,-0.01747,-0.02994,0.02994,0.01747
17.9218,0.726,-0.654,-0.01814,-0.02983,0.02983,0.01814
17.9526,0.683,-0.648,-0.01878,-0.02974,0.02974,0.01878
17.9855,0.665,-0.651,-0.01941,-0.02966,0.02966,0.01941
18.0158,0.623,-0.625,-0.02001,-0.0296,0.0296,0.02001
18.0461,0.572,-0.567,-0.02056,-0.02953,0.02953,0.02056
18.0788,0.454,-0.56,-0.0208,-0.02977,0.02977,0.0208
18.1092,0.318,-0.528,-0.02102,-0.03,0.03,0.02102
18.1396,0.23,-0.585,-0.02127,-0.03025,0.03025,0.02127
18.1709,0.15,-0.563,-0.02151,-0.03049,0.03049,0.02151
18.2035,-0.007,-0.459,-0.02151,-0.03049,0.03049,0.02151
18.234,-0.119,-0.427,-0.02151,-0.03049,0.03049,0.02151
18.2667,-0.045,-0.447,-0.02151,-0.03049,0.03049,0.02151
18.2967,-0.046,-0.466,-0.02151,-0.03049,0.03049,0.02151
18.3274,-0.061,-0.498,-0.02151,-0.03049,0.03049,0.02151
18.3593,-0.026,-0.526,-0.02174,-0.03071,0.03071,0.02174
18.3896,0.101,-0.583,-0.02199,-0.03096,0.03096,0.02199
18.4209,0.23,-0.568,-0.02223,-0.0312,0.0312,0.02223
18.4543,0.346,-0.575,-0.02247,-0.03145,0.03145,0.02247
18.4845,0.474,-0.492,-0.02247,-0.03145,0.03145,0.02247
18.5156,0.588,-0.393,-0.02279,-0.03114,0.03114,0.02279
18.546,0.679,-0.346,-0.02315,-0.03077,0.03077,0.02315
18.576,0.783,-0.338,-0.02357,-0.03036,0.03036,0.02357
18.6073,0.882,-0.253,-0.02404,-0.02989,0.02989,0.02404
18.639,0.962,-0.159,-0.02455,-0.02937,0.02937,0.02455
18.669,1.087,-0.084,-0.02513,-0.02879,0.02879,0.02513
18.7005,1.127,-0.012,-0.02573,-0.02819,0.02819,0.02573
18.7315,1.131,0.071,-0.02634,-0.02759,0.02759,0.02634
18.7617,1.11,0.148,-0.02693,-0.027,0.027,0.02693
18.7924,1.13,0.175,-0.02753,-0.02639,0.02639,0.02753
18.8225,1.131,0.129,-0.02813,-0.02579,0.02579,0.02813
18.8552,1.141,0.148,-0.02874,-0.02518,0.02518,0.02874
18.8869,1.012,0.161,-0.02928,-0.02464,0.02464,0.02928
18.917,0.899,0.201,-0.02976,-0.02416,0.02416,0.02976
18.9497,0.79,0.152,-0.03018,-0.02374,0.02374,0.03018
18.9811,0.643,0.123,-0.03053,-0.0234,0.0234,0.03053
19.0111,0.452,0.074,-0.03053,-0.0234,0.0234,0.03053
19.0414,0.231,0.137,-0.03053,-0.0234,0.0234,0.03053
19.072,0.17,0.239,-0.03053,-0.0234,0.0234,0.03053
19.1029,0.069,0.256,-0.03053,-0.0234,0.0234,0.03053
19.133,-0.112,0.307,-0.03053,-0.0234,0.0234,0.03053
19.1636,-0.287,0.345,-0.03053,-0.0234,0.0234,0.03053
19.1956,-0.326,0.306,-0.03053,-0.0234,0.0234,0.03053
19.2255,-0.288,0.243,-0.03053,-0.0234,0.0234,0.03053
19.2563,-0.267,0.159,-0.03053,-0.0234,0.0234,0.03053
19.2864,-0.269,0.103,-0.03053,-0.0234,0.0234,0.03053
19.32,-0.298,-0.003,-0.03053,-0.0234,0.0234,0.03053
19.3525,-0.276,-0.14,-0.03053,-0.0234,0.0234,0.03053
19.3825,-0.243,-0.233,-0.03053,-0.0234,0.0234,0.03053
19.4127,-0.248,-0.249,-0.03053,-0.0234,0.0234,0.03053
19.4449,-0.273,-0.268,-0.03053,-0.0234,0.0234,0.03053
19.475,-0.308,-0.292,-0.03053,-0.0234,0.0234,0.03053
19.505,-0.321,-0.301,-0.03053,-0.0234,0.0234,0.03053
19.5366,-0.358,-0.317,-0.03053,-0.0234,0.0234,0.03053
19.5679,-0.425,-0.318,-0.03053,-0.0234,0.0234,0.03053
19.598,-0.491,-0.289,-0.03053,-0.0234,0.0234,0.03053
19.6295,-0.566,-0.277,-0.03022,-0.0237,0.0237,0.03022
19.6605,-0.638,-0.265,-0.02988,-0.02404,0.02404,0.02988
19.6911,-0.725,-0.253,-0.0295,-0.02443,0.02443,0.0295
19.7225,-0.748,-0.23,-0.0291,-0.02483,0.02483,0.0291
19.7527,-0.671,-0.189,-0.02874,-0.02518,0.02518,0.02874
19.7829,-0.657,-0.119,-0.02839,-0.02553,0.02553,0.02839
19.8136,-0.733,-0.058,-0.028,-0.02593,0.02593,0.028
19.8437,-0.81,0.033,-0.02757,-0.02636,0.02636,0.02757
19.8738,-0.786,0.121,-0.02715,-0.02678,0.02678,0.02715
19.9043,-0.671,0.248,-0.02679,-0.02713,0.02713,0.02679
19.937,-0.6,0.428,-0.02647,-0.02745,0.02745,0.02647
19.9671,-0.629,0.597,-0.02588,-0.02753,0.02753,0.02588
19.9975,-0.601,0.752,-0.02524,-0.02753,0.02753,0.02524
20.0304,-0.456,0.905,-0.02485,-0.02715,0.02715,0.02485
20.0605,-0.407,1.094,-0.02438,-0.02668,0.02668,0.02438
20.0909,-0.422,1.297,-0.02383,-0.02613,0.02613,0.02383
20.1239,-0.313,1.462,-0.02321,-0.0255,0.0255,0.02321
20.1541,-0.161,1.584,-0.02253,-0.02483,0.02483,0.02253
20.1849,-0.064,1.624,-0.02184,-0.02414,0.02414,0.02184
20.2149,-0.043,1.767,-0.02108,-0.02338,0.02338,0.02108
20.2449,0.043,1.927,-0.02026,-0.02256,0.02256,0.02026
20.2752,0.18,2.009,-0.01941,-0.0217,0.0217,0.01941
20.3087,0.249,1.981,-0.01856,-0.02086,0.02086,0.01856
20.3389,0.193,1.908,-0.01775,-0.02004,0.02004,0.01775
20.3699,0.182,2.008,-0.01689,-0.01919,0.01919,0.01689
20.4002,0.221,2.214,-0.01594,-0.01824,0.01824,0.01594
20.4306,0.236,2.307,-0.01496,-0.01726,0.01726,0.01496
20.4607,0.097,2.251,-0.014,-0.0163,0.0163,0.014
20.4935,0.035,2.15,-0.01308,-0.01538,0.01538,0.01308
20.5237,0.04,2.164,-0.01216,-0.01446,0.01446,0.01216
20.5542,0.005,2.266,-0.01119,-0.01349,0.01349,0.01119
20.5869,-0.081,2.16,-0.01027,-0.01257,0.01257,0.01027
20.6169,-0.166,1.975,-0.00943,-0.01173,0.01173,0.00943
20.648,-0.192,1.938,-0.0086,-0.0109,0.0109,0.0086
20.6809,-0.119,1.893,-0.00779,-0.01009,0.01009,0.00779
20.7112,-0.094,1.757,-0.00704,-0.00934,0.00934,0.00704
20.7424,-0.135,1.655,-0.00634,-0.00864,0.00864,0.00634
20.7727,-0.141,1.714,-0.00561,-0.0079,0.0079,0.00561
20.8032,-0.18,1.867,-0.00481,-0.00711,0.00711,0.00481
20.8344,-0.227,1.689,-0.00409,-0.00639,0.00639,0.00409
20.8647,-0.232,1.506,-0.00345,-0.00574,0.00574,0.00345
20.8951,-0.28,1.373,-0.00286,-0.00516,0.00516,0.00286
20.9253,-0.378,1.526,-0.00221,-0.00451,0.00451,0.00221
20.9581,-0.398,1.611,-0.00152,-0.00382,0.00382,0.00152
20.9882,-0.36,1.613,-0.00083,-0.00313,0.00313,0.00083
21.0185,-0.409,1.554,-0.00017,-0.00247,0.00247,0.00017
21.0512,-0.473,1.486,0.00046,-0.00183,0.00183,-0.00046
21.0813,-0.465,1.543,0.00112,-0.00118,0.00118,-0.00112
21.1122,-0.426,1.419,0.00173,-0.00057,0.00057,-0.00173
21.1449,-0.404,1.432,0.00234,4e-05,-4e-05,-0.00234
21.1749,-0.369,1.552,0.003,0.0007,-0.0007,-0.003
21.2054,-0.18,1.654,0.0037,0.00141,-0.00141,-0.0037
21.2358,-0.148,1.695,0.00443,0.00213,-0.00213,-0.00443
21.2658,-0.113,1.663,0.00514,0.00284,-0.00284,-0.00514
21.2958,-0.014,1.723,0.00587,0.00358,-0.00358,-0.00587
21.3287,0.085,1.766,0.00663,0.00433,-0.00433,-0.00663
21.3586,0.196,1.726,0.00736,0.00507,-0.00507,-0.00736
21.3885,0.207,1.634,0.00806,0.00576,-0.00576,-0.00806
21.4198,0.257,1.501,0.0087,0.0064,-0.0064,-0.0087
21.4499,0.276,1.327,0.00927,0.00697,-0.00697,-0.00927
21.48,0.352,1.038,0.00971,0.00741,-0.00741,-0.00971
21.5107,0.355,0.868,0.01008,0.00778,-0.00778,-0.01008
21.5434,0.354,0.613,0.01034,0.00804,-0.00804,-0.01034
21.5733,0.335,0.36,0.01034,0.00804,-0.00804,-0.01034
21.6054,0.299,0.178,0.01034,0.00804,-0.00804,-0.01034
21.6355,0.191,0.092,0.01034,0.00804,-0.00804,-0.01034
21.6654,0.053,0.025,0.01034,0.00804,-0.00804,-0.01034
21.6981,-0.059,-0.04,0.01034,0.00804,-0.00804,-0.01034
21.7286,-0.133,-0.131,0.01034,0.00804,-0.00804,-0.01034
21.7588,-0.18,-0.201,0.01034,0.00804,-0.00804,-0.01034
21.7897,-0.219,-0.251,0.01034,0.00804,-0.00804,-0.01034
21.8207,-0.27,-0.302,0.01034,0.00804,-0.00804,-0.01034
21.8508,-0.333,-0.347,0.01034,0.00804,-0.00804,-0.01034
21.8828,-0.386,-0.396,0.01034,0.00804,-0.00804,-0.01034
21.9132,-0.418,-0.458,0.01034,0.00804,-0.00804,-0.01034
21.9435,-0.433,-0.537,0.01011,0.00782,-0.00782,-0.01011
21.9751,-0.46,-0.619,0.00985,0.00755,-0.00755,-0.00985
22.0052,-0.511,-0.713,0.00982,0.00697,-0.00697,-0.00982
22.0356,-0.594,-0.783,0.0098,0.00632,-0.00632,-0.0098
22.0665,-0.651,-0.783,0.00981,0.00564,-0.00564,-0.00981
22.0996,-0.685,-0.849,0.00982,0.00491,-0.00491,-0.00982
22.13,-0.696,-0.86,0.00982,0.00418,-0.00418,-0.00982
22.1625,-0.714,-0.943,0.0098,0.00339,-0.00339,-0.0098
22.193,-0.694,-0.865,0.0098,0.00265,-0.00265,-0.0098
22.2232,-0.686,-0.796,0.00982,0.00195,-0.00195,-0.00982
22.2539,-0.616,-0.792,0.00982,0.00128,-0.00128,-0.00982
22.2847,-0.61,-0.76,0.00982,0.00063,-0.00063,-0.00982
22.3147,-0.514,-0.632,0.00982,9e-05,-9e-05,-0.00982
22.3467,-0.357,-0.614,0.00956,-0.00017,0.00017,-0.00956
22.3767,-0.177,-0.501,0.00934,-0.00039,0.00039,-0.00934
22.4073,0.025,-0.288,0.00934,-0.00039,0.00039,-0.00934
22.439,0.166,-0.138,0.00934,-0.00039,0.00039,-0.00934
22.4709,0.328,-0.112,0.00934,-0.00039,0.00039,-0.00934
22.5011,0.432,-0.102,0.00934,-0.00039,0.00039,-0.00934
22.5331,0.524,-0.061,0.00907,-0.00011,0.00011,-0.00907
22.5631,0.605,0.001,0.00874,0.00021,-0.00021,-0.00874
22.5931,0.662,0.072,0.00839,0.00057,-0.00057,-0.00839
22.6236,0.703,0.084,0.00801,0.00094,-0.00094,-0.00801
22.6567,0.689,0.068,0.00765,0.00131,-0.00131,-0.00765
22.6869,0.693,0.109,0.00728,0.00168,-0.00168,-0.00728
22.7179,0.649,0.143,0.00693,0.00203,-0.00203,-0.00693
22.7482,0.546,0.155,0.00664,0.00232,-0.00232,-0.00664
22.7781,0.453,0.259,0.00664,0.00232,-0.00232,-0.00664
22.8088,0.37,0.274,0.00664,0.00232,-0.00232,-0.00664
22.8389,0.27,0.345,0.00664,0.00232,-0.00232,-0.00664
22.8689,0.172,0.343,0.00664,0.00232,-0.00232,-0.00664
22.8991,0.102,0.348,0.00664,0.00232,-0.00232,-0.00664
22.9318,0.044,0.361,0.00664,0.00232,-0.00232,-0.00664
22.9618,-0.007,0.384,0.00664,0.00232,-0.00232,-0.00664
22.9921,-0.047,0.364,0.00664,0.00232,-0.00232,-0.00664
23.0251,-0.091,0.364,0.00664,0.00232,-0.00232,-0.00664
23.0556,-0.166,0.371,0.00664,0.00232,-0.00232,-0.00664
23.0864,-0.24,0.386,0.00664,0.00232,-0.00232,-0.00664
23.1196,-0.302,0.398,0.00664,0.00232,-0.00232,-0.00664
23.1505,-0.341,0.424,0.00664,0.00232,-0.00232,-0.00664
23.1816,-0.372,0.449,0.00664,0.00232,-0.00232,-0.00664
23.2119,-0.402,0.449,0.00664,0.00232,-0.00232,-0.00664
23.2422,-0.433,0.45,0.00664,0.00232,-0.00232,-0.00664
23.2733,-0.449,0.434,0.00664,0.00232,-0.00232,-0.00664
23.3063,-0.457,0.41,0.00664,0.00232,-0.00232,-0.00664
23.3369,-0.45,0.383,0.00664,0.00232,-0.00232,-0.00664
23.3676,-0.438,0.368,0.00664,0.00232,-0.00232,-0.00664
23.4006,-0.429,0.346,0.00664,0.00232,-0.00232,-0.00664
23.431,-0.437,0.323,0.00664,0.00232,-0.00232,-0.00664
23.462,-0.451,0.307,0.00664,0.00232,-0.00232,-0.00664
23.4929,-0.473,0.309,0.00664,0.00232,-0.00232,-0.00664
23.5233,-0.512,0.305,0.00691,0.00204,-0.00204,-0.00691
23.5543,-0.569,0.306,0.00722,0.00174,-0.00174,-0.00722
23.5846,-0.629,0.31,0.00755,0.00141,-0.00141,-0.00755
23.6149,-0.677,0.317,0.00791,0.00104,-0.00104,-0.00791
23.6458,-0.742,0.327,0.00831,0.00065,-0.00065,-0.00831
23.6789,-0.74,0.335,0.0087,0.00025,-0.00025,-0.0087
23.7092,-0.722,0.318,0.00909,-0.00013,0.00013,-0.00909
23.7425,-0.772,0.319,0.0095,-0.00054,0.00054,-0.0095
23.7728,-0.788,0.396,0.00992,-0.00096,0.00096,-0.00992
23.8032,-0.775,0.316,0.01033,-0.00138,0.00138,-0.01033
23.8344,-0.716,0.357,0.01072,-0.00176,0.00176,-0.01072
23.8675,-0.729,0.344,0.0111,-0.00215,0.00215,-0.0111
23.8984,-0.73,0.44,0.01149,-0.00254,0.00254,-0.01149
23.9314,-0.654,0.438,0.01184,-0.00289,0.00289,-0.01184
23.9619,-0.556,0.37,0.01214,-0.00318,0.00318,-0.01214
23.9928,-0.416,0.401,0.01214,-0.00318,0.00318,-0.01214
24.0232,-0.249,0.396,0.01214,-0.00318,0.00318,-0.01214
24.0537,-0.107,0.359,0.01214,-0.00318,0.00318,-0.01214
24.0847,0.052,0.295,0.01214,-0.00318,0.00318,-0.01214
24.1154,0.177,0.222,0.01214,-0.00318,0.00318,-0.01214
24.1485,0.28,0.176,0.01214,-0.00318,0.00318,-0.01214
24.1794,0.377,0.156,0.01214,-0.00318,0.00318,-0.01214
24.2096,0.425,0.141,0.01214,-0.00318,0.00318,-0.01214
24.24,0.415,0.144,0.01214,-0.00318,0.00318,-0.01214
24.2709,0.383,0.154,0.01214,-0.00318,0.00318,-0.01214
24.3039,0.349,0.157,0.01214,-0.00318,0.00318,-0.01214
24.3342,0.313,0.159,0.01214,-0.00318,0.00318,-0.01214
24.365,0.28,0.162,0.01214,-0.00318,0.00318,-0.01214
24.3955,0.262,0.162,0.01214,-0.00318,0.00318,-0.01214
24.4263,0.261,0.164,0.01214,-0.00318,0.00318,-0.01214
24.4574,0.276,0.17,0.01214,-0.00318,0.00318,-0.01214
24.4883,0.312,0.175,0.01214,-0.00318,0.00318,-0.01214
24.5215,0.35,0.179,0.01214,-0.00318,0.00318,-0.01214
24.5545,0.38,0.177,0.01214,-0.00318,0.00318,-0.01214
24.5853,0.413,0.162,0.01214,-0.00318,0.00318,-0.01214
24.6155,0.434,0.142,0.01214,-0.00318,0.00318,-0.01214
24.6464,0.448,0.122,0.01214,-0.00318,0.00318,-0.01214
24.6772,0.461,0.11,0.01214,-0.00318,0.00318,-0.01214
24.7077,0.468,0.109,0.01214,-0.00318,0.00318,-0.01214
24.7388,0.449,0.109,0.01214,-0.00318,0.00318,-0.01214
24.7691,0.413,0.115,0.01214,-0.00318,0.00318,-0.01214
24.802,0.377,0.132,0.01214,-0.00318,0.00318,-0.01214
24.8342,0.35,0.143,0.01214,-0.00318,0.00318,-0.01214
24.8645,0.331,0.136,0.01214,-0.00318,0.00318,-0.01214
24.8948,0.331,0.122,0.01214,-0.00318,0.00318,-0.01214
24.9277,0.361,0.109,0.01214,-0.00318,0.00318,-0.01214
24.9581,0.4,0.101,0.01214,-0.00318,0.00318,-0.01214
24.9884,0.434,0.093,0.01214,-0.00318,0.00318,-0.01214
25.0194,0.453,0.092,0.01214,-0.00318,0.00318,-0.01214
25.0498,0.457,0.085,0.01214,-0.00318,0.00318,-0.01214
25.0799,0.444,0.082,0.01214,-0.00318,0.00318,-0.01214
25.1108,0.419,0.078,0.01214,-0.00318,0.00318,-0.01214
25.1413,0.399,0.068,0.01214,-0.00318,0.00318,-0.01214
25.1718,0.387,0.059,0.01214,-0.00318,0.00318,-0.01214
25.2043,0.383,0.051,0.01214,-0.00318,0.00318,-0.01214
25.2345,0.384,0.04,0.01214,-0.00318,0.00318,-0.01214
25.2647,0.383,0.03,0.01214,-0.00318,0.00318,-0.01214
25.2956,0.372,0.024,0.01214,-0.00318,0.00318,-0.01214
25.3262,0.368,0.014,0.01214,-0.00318,0.00318,-0.01214
25.3568,0.374,0.008,0.01214,-0.00318,0.00318,-0.01214
25.3878,0.38,-0.004,0.01214,-0.00318,0.00318,-0.01214
25.4185,0.384,-0.012,0.01214,-0.00318,0.00318,-0.01214
25.4491,0.39,-0.025,0.01214,-0.00318,0.00318,-0.01214
25.4807,0.397,-0.032,0.01214,-0.00318,0.00318,-0.01214
25.5109,0.401,-0.042,0.01214,-0.00318,0.00318,-0.01214
25.5412,0.386,-0.056,0.01214,-0.00318,0.00318,-0.01214
25.572,0.359,-0.069,0.01214,-0.00318,0.00318,-0.01214
25.6048,0.34,-0.082,0.01214,-0.00318,0.00318,-0.01214
25.6352,0.327,-0.089,0.01214,-0.00318,0.00318,-0.01214
25.666,0.312,-0.095,0.01214,-0.00318,0.00318,-0.01214
25.6962,0.302,-0.102,0.01214,-0.00318,0.00318,-0.01214
25.7263,0.3,-0.118,0.01214,-0.00318,0.00318,-0.01214
25.7572,0.305,-0.134,0.01214,-0.00318,0.00318,-0.01214
25.7875,0.307,-0.15,0.01214,-0.00318,0.00318,-0.01214
25.8176,0.309,-0.156,0.01214,-0.00318,0.00318,-0.01214
25.8486,0.306,-0.153,0.01214,-0.00318,0.00318,-0.01214
25.8818,0.3,-0.148,0.01214,-0.00318,0.00318,-0.01214
25.9122,0.297,-0.145,0.01214,-0.00318,0.00318,-0.01214
25.9429,0.3,-0.147,0.01214,-0.00318,0.00318,-0.01214
25.9758,0.312,-0.147,0.01214,-0.00318,0.00318,-0.01214
26.0058,0.317,-0.146,0.01214,-0.00318,0.00318,-0.01214
26.0366,0.327,-0.146,0.01214,-0.00318,0.00318,-0.01214
26.0667,0.344,-0.153,0.01214,-0.00318,0.00318,-0.01214
26.0998,0.366,-0.151,0.01214,-0.00318,0.00318,-0.01214
26.1309,0.379,-0.149,0.01214,-0.00318,0.00318,-0.01214
26.1612,0.388,-0.143,0.01214,-0.00318,0.00318,-0.01214
26.1916,0.394,-0.142,0.01214,-0.00318,0.00318,-0.01214
26.2224,0.398,-0.142,0.01214,-0.00318,0.00318,-0.01214
26.2526,0.401,-0.141,0.01214,-0.00318,0.00318,-0.01214
26.2828,0.4,-0.136,0.01214,-0.00318,0.00318,-0.01214
26.3135,0.396,-0.134,0.01214,-0.00318,0.00318,-0.01214
26.3464,0.385,-0.129,0.01214,-0.00318,0.00318,-0.01214
26.3766,0.377,-0.123,0.01214,-0.00318,0.00318,-0.01214
26.4074,0.375,-0.123,0.01214,-0.00318,0.00318,-0.01214
26.4406,0.367,-0.127,0.01214,-0.00318,0.00318,-0.01214
26.4708,0.366,-0.128,0.01214,-0.00318,0.00318,-0.01214
26.5018,0.366,-0.127,0.01214,-0.00318,0.00318,-0.01214
26.5321,0.377,-0.127,0.01214,-0.00318,0.00318,-0.01214
26.5629,0.39,-0.131,0.01214,-0.00318,0.00318,-0.01214
26.5942,0.39,-0.135,0.01214,-0.00318,0.00318,-0.01214
26.6244,0.391,-0.15,0.01214,-0.00318,0.00318,-0.01214
26.655,0.393,-0.15,0.01214,-0.00318,0.00318,-0.01214
26.6864,0.391,-0.152,0.01214,-0.00318,0.00318,-0.01214
26.7196,0.382,-0.15,0.01214,-0.00318,0.00318,-0.01214
26.7501,0.381,-0.141,0.01214,-0.00318,0.00318,-0.01214
26.782,0.382,-0.133,0.01214,-0.00318,0.00318,-0.01214
26.8131,0.378,-0.128,0.01214,-0.00318,0.00318,-0.01214
26.8434,0.41,-0.123,0.01214,-0.00318,0.00318,-0.01214
26.8753,0.403,-0.123,0.01214,-0.00318,0.00318,-0.01214
26.9054,0.407,-0.119,0.01214,-0.00318,0.00318,-0.01214
26.9358,0.449,-0.121,0.01214,-0.00318,0.00318,-0.01214
26.9663,0.453,-0.121,0.01214,-0.00318,0.00318,-0.01214
26.999,0.457,-0.126,0.01214,-0.00318,0.00318,-0.01214
27.0295,0.455,-0.123,0.01214,-0.00318,0.00318,-0.01214
27.063,0.453,-0.119,0.01214,-0.00318,0.00318,-0.01214
27.0937,0.451,-0.113,0.01214,-0.00318,0.00318,-0.01214
27.1243,0.44,-0.115,0.01214,-0.00318,0.00318,-0.01214
27.1552,0.434,-0.122,0.01214,-0.00318,0.00318,-0.01214
27.1879,0.438,-0.128,0.01214,-0.00318,0.00318,-0.01214
27.2182,0.446,-0.134,0.01214,-0.00318,0.00318,-0.01214
27.2509,0.452,-0.139,0.01214,-0.00318,0.00318,-0.01214
27.2809,0.454,-0.139,0.01214,-0.00318,0.00318,-0.01214
27.3114,0.45,-0.142,0.01214,-0.00318,0.00318,-0.01214
27.3444,0.441,-0.131,0.01214,-0.00318,0.00318,-0.01214
27.3745,0.435,-0.121,0.01214,-0.00318,0.00318,-0.01214
27.405,0.434,-0.121,0.01214,-0.00318,0.00318,-0.01214
