t,roll,pitch,posture_roll,posture_pitch,roll_effort,offset_change,fsm,swing,brace
1766108831.552,-0.007,-0.018,0.000,0.000,0.003,0.000,IDLE,None,0
1766108831.608,-0.011,-0.018,0.000,0.000,0.003,0.000,IDLE,None,0
1766108831.665,-0.011,-0.017,0.000,0.000,0.000,0.000,IDLE,None,0
1766108831.721,-0.010,-0.016,0.000,0.000,0.000,0.000,IDLE,None,0
1766108831.778,-0.010,-0.016,0.000,0.000,0.000,0.000,IDLE,None,0
1766108831.834,-0.009,-0.015,0.000,0.000,0.000,0.000,IDLE,None,0
1766108831.890,-0.009,-0.014,0.000,0.000,0.000,0.000,IDLE,None,0
1766108831.948,-0.009,-0.014,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.004,-0.008,-0.013,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.060,-0.008,-0.013,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.116,-0.008,-0.012,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.172,-0.007,-0.012,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.228,-0.007,-0.004,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.285,-0.007,-0.004,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.342,-0.007,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.398,-0.006,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.455,-0.010,-0.003,0.000,0.000,0.003,0.000,IDLE,None,0
1766108832.511,-0.009,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.567,-0.009,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.623,-0.009,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.681,-0.008,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.737,-0.008,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.793,-0.008,-0.003,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.850,-0.007,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.906,-0.007,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108832.962,-0.007,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.018,-0.006,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.075,-0.006,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.131,-0.006,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.188,-0.010,-0.002,0.000,0.000,0.003,0.000,IDLE,None,0
1766108833.244,-0.009,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.300,-0.009,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.357,-0.009,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.413,-0.008,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.469,-0.008,-0.002,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.525,-0.011,-0.001,0.000,0.000,0.003,0.000,IDLE,None,0
1766108833.582,-0.011,-0.001,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.638,-0.016,-0.001,0.000,0.000,0.004,0.000,IDLE,None,0
1766108833.697,-0.015,-0.001,0.000,0.000,0.001,0.000,IDLE,None,0
1766108833.754,-0.015,0.037,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.810,-0.014,0.036,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.867,-0.014,0.034,0.000,0.000,0.000,0.000,IDLE,None,0
1766108833.923,-0.018,0.033,0.000,0.000,0.003,0.000,IDLE,None,0
1766108833.980,-0.017,0.032,0.000,0.000,0.001,0.000,IDLE,None,0
1766108834.036,-0.016,0.030,0.000,0.000,0.001,0.000,IDLE,None,0
1766108834.093,-0.016,0.029,0.000,0.000,0.001,0.000,IDLE,None,0
1766108834.149,-0.015,0.028,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.206,-0.014,0.027,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.262,-0.014,0.026,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.318,-0.013,0.025,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.374,-0.013,0.024,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.430,-0.012,0.023,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.488,-0.012,0.022,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.543,-0.011,0.021,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.600,-0.011,0.020,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.656,-0.010,0.019,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.712,-0.010,0.019,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.771,-0.010,0.018,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.827,-0.009,0.017,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.883,-0.009,0.017,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.939,-0.008,0.016,0.000,0.000,0.000,0.000,IDLE,None,0
1766108834.995,-0.008,0.015,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.052,-0.008,0.015,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.111,-0.007,0.014,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.168,-0.007,0.013,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.224,-0.013,0.013,0.000,0.000,0.005,0.000,IDLE,None,0
1766108835.281,-0.012,0.012,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.337,-0.012,0.012,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.394,-0.011,0.011,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.450,-0.011,0.011,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.506,-0.010,0.011,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.562,-0.010,0.010,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.618,-0.010,0.010,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.675,-0.009,0.009,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.731,-0.013,0.009,0.000,0.000,0.003,0.000,IDLE,None,0
1766108835.788,-0.012,0.009,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.844,-0.012,0.008,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.901,-0.011,0.008,0.000,0.000,0.000,0.000,IDLE,None,0
1766108835.957,-0.015,0.008,0.000,0.000,0.003,0.000,IDLE,None,0
1766108836.015,-0.014,0.007,0.000,0.000,0.000,0.000,IDLE,None,0
1766108836.071,-0.014,0.007,0.000,0.000,0.000,0.000,IDLE,None,0
1766108836.128,-0.013,0.007,0.000,0.000,0.000,0.000,IDLE,None,0
1766108836.184,-0.013,0.006,0.000,0.000,0.000,0.000,IDLE,None,0
1766108836.241,-0.012,0.006,0.000,0.000,0.000,0.000,IDLE,None,0
1766108836.297,-0.012,0.006,0.000,0.000,0.000,0.000,IDLE,None,0
1766108836.353,-0.011,0.006,0.000,0.000,0.000,0.000,IDLE,None,0
1766108836.410,-0.011,0.005,0.000,0.000,0.000,0.000,IDLE,None,0
1766108836.466,-0.019,0.023,0.000,0.000,0.007,0.000,IDLE,None,0
1766108836.523,-0.019,0.020,0.000,0.000,0.001,0.000,IDLE,None,0
1766108836.579,-0.006,0.019,0.000,0.000,0.010,0.000,IDLE,None,0
1766108836.636,-0.014,0.024,0.000,0.000,0.006,0.000,IDLE,None,0
1766108836.693,-0.008,0.008,0.000,0.000,0.005,0.000,IDLE,None,0
1766108836.749,-0.002,0.016,0.000,0.000,0.005,0.000,IDLE,None,0
