t,FOOT_FLF,FOOT_FRF,FOOT_RLF,FOOT_RRF,MID_FLM,MID_FRM,MID_RLM,MID_RRM,SHOULDER_FL,SHOULDER_FR,SHOULDER_RL,SHOULDER_RR,offset_change,pitch,posture_pitch,posture_roll,roll,roll_effort
1768602607.342,52.76,121.37,69.49,120.85,165.0,104.0,154.0,102.0,39.15,30.15,31.15,31.15,1.101,-0.24,0.0,0.0,7.98,0.757
1768602607.403,54.03,123.04,71.17,122.13,165.0,104.0,154.0,102.0,39.15,30.15,31.15,31.15,0.0,-0.06,0.0,0.0,8.23,0.039
1768602607.464,55.86,124.87,73.0,123.96,165.0,104.0,154.0,102.0,39.76,30.76,31.76,31.76,0.607,-0.0,0.0,0.0,7.98,0.569
1768602607.526,58.03,126.91,75.06,126.14,165.0,104.0,154.0,102.0,40.31,31.31,32.31,32.31,0.552,-0.06,0.0,0.0,7.56,0.552
1768602607.587,60.18,129.28,77.43,128.28,165.0,104.0,154.0,102.0,41.5,32.5,33.5,33.5,1.186,0.08,0.0,0.0,6.44,1.186
1768602607.648,62.53,131.52,79.66,130.63,165.0,104.0,154.0,102.0,43.0,34.0,35.0,35.0,1.5,0.01,0.0,0.0,5.0,7.205
1768602607.712,64.83,133.8,81.96,132.93,165.0,104.0,154.0,102.0,44.5,35.5,36.5,36.5,1.5,-0.06,0.0,0.0,3.06,0.74
1768602607.773,66.85,135.84,83.96,134.94,165.0,104.0,154.0,102.0,46.0,37.0,38.0,38.0,1.5,-0.05,0.0,0.0,0.56,0.991
1768602607.836,68.59,137.58,85.72,136.69,165.0,104.0,154.0,102.0,47.5,38.5,39.5,39.5,1.5,-0.05,0.0,0.0,-1.73,0.735
1768602607.897,69.87,138.87,86.98,137.96,165.0,104.0,154.0,102.0,49.0,40.0,41.0,41.0,1.5,0.08,0.0,0.0,-4.18,0.851
1768602607.959,70.41,139.98,88.07,138.5,165.0,104.0,154.0,102.0,50.5,41.5,42.5,42.5,1.5,0.21,0.0,0.0,-6.02,0.352
1768602608.02,70.46,140.54,88.62,138.54,165.0,104.0,154.0,102.0,52.0,43.0,44.0,44.0,1.5,0.51,0.0,0.0,-7.11,0.519
1768602608.083,70.44,140.08,88.14,138.51,165.0,104.0,154.0,102.0,53.47,44.47,45.47,45.47,1.475,0.4,0.0,0.0,-8.55,1.286
1768602608.148,69.57,139.36,87.4,137.64,165.0,104.0,154.0,102.0,53.98,44.98,45.98,45.98,0.507,0.4,0.0,0.0,-9.48,0.507
1768602608.21,68.27,138.06,86.09,136.33,165.0,104.0,154.0,102.0,53.93,44.93,45.93,45.93,0.054,0.42,0.0,0.0,-9.71,0.054
1768602608.272,66.67,136.28,84.31,134.74,165.0,104.0,154.0,102.0,53.77,44.77,45.77,45.77,0.158,0.37,0.0,0.0,-9.79,0.158
1768602608.333,64.65,134.26,82.28,132.71,165.0,104.0,154.0,102.0,53.0,44.0,45.0,45.0,0.77,0.38,0.0,0.0,-9.29,0.77
1768602608.395,62.31,132.19,80.21,130.37,165.0,104.0,154.0,102.0,52.14,43.14,44.14,44.14,0.861,0.46,0.0,0.0,-8.34,0.861
1768602608.457,60.05,129.79,77.8,128.11,165.0,104.0,154.0,102.0,50.64,41.64,42.64,42.64,1.5,0.45,0.0,0.0,-6.77,1.598
1768602608.518,58.21,127.05,75.07,126.27,165.0,104.0,154.0,102.0,49.14,40.14,41.14,41.14,1.5,0.11,0.0,0.0,-4.59,2.054
1768602608.58,56.18,124.89,72.92,124.24,165.0,104.0,154.0,102.0,47.64,38.64,39.64,39.64,1.5,-0.06,0.0,0.0,-2.13,2.084
1768602608.64,53.99,123.34,71.38,122.05,165.0,104.0,154.0,102.0,46.14,37.14,38.14,38.14,1.5,0.07,0.0,0.0,0.23,1.837
1768602608.702,52.75,121.62,69.66,120.81,165.0,104.0,154.0,102.0,44.64,35.64,36.64,36.64,1.5,-0.07,0.0,0.0,2.53,9.94
1768602608.764,51.68,120.55,68.61,119.76,165.0,104.0,154.0,102.0,43.14,34.14,35.14,35.14,1.5,-0.04,0.0,0.0,4.17,0.064
1768602608.828,51.03,120.11,68.18,119.1,165.0,104.0,154.0,102.0,41.64,32.64,33.64,33.64,1.5,0.08,0.0,0.0,5.73,0.027
1768602608.892,51.19,119.96,68.05,119.28,165.0,104.0,154.0,102.0,40.14,31.14,32.14,32.14,1.5,-0.24,0.0,0.0,7.62,0.247
1768602608.955,51.64,120.66,68.77,119.73,165.0,104.0,154.0,102.0,38.86,29.86,30.86,30.86,1.273,-0.05,0.0,0.0,8.44,4.451
1768602609.017,52.51,121.99,70.11,120.61,165.0,104.0,154.0,102.0,38.23,29.23,30.23,30.23,0.634,0.2,0.0,0.0,9.22,0.634
1768602609.08,54.07,123.54,71.67,122.16,165.0,104.0,154.0,102.0,38.12,29.12,30.12,30.12,0.115,0.19,0.0,0.0,9.62,0.115
1768602609.142,56.08,125.33,73.47,124.18,165.0,104.0,154.0,102.0,38.44,29.44,30.44,30.44,0.321,0.17,0.0,0.0,9.53,0.321
1768602609.205,58.26,127.5,75.66,126.37,165.0,104.0,154.0,102.0,39.4,30.4,31.4,31.4,0.965,0.2,0.0,0.0,8.8,0.965
1768602609.27,60.33,130.15,78.35,128.43,165.0,104.0,154.0,102.0,40.72,31.72,32.72,32.72,1.323,0.41,0.0,0.0,7.51,1.323
