t,roll,pitch,posture_roll,posture_pitch,roll_effort,offset_change,fsm,swing,brace
1766438671.519,15.234,-0.641,0.000,0.000,2.411,1.500,IDLE,None,0
1766438671.576,18.632,0.023,0.000,0.000,2.909,1.500,IDLE,None,0
1766438671.633,22.454,0.715,0.000,0.000,3.283,1.500,IDLE,None,0
1766438671.689,26.310,1.067,0.000,0.000,0.109,1.500,IDLE,None,0
1766438671.745,30.000,1.151,0.000,0.000,0.000,1.500,IDLE,None,0
1766438671.801,30.000,1.259,0.000,0.000,0.000,1.500,IDLE,None,0
1766438671.857,30.000,1.506,0.000,0.000,0.000,1.500,IDLE,None,0
1766438671.914,30.000,1.566,0.000,0.000,0.000,1.500,IDLE,None,0
1766438671.970,30.000,1.426,0.000,0.000,0.000,0.766,IDLE,None,0
1766438672.026,30.000,1.122,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.082,30.000,1.050,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.139,30.000,0.839,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.195,30.000,0.466,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.252,30.000,0.118,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.308,30.000,0.130,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.365,30.000,0.557,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.421,30.000,0.957,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.477,30.000,1.117,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.533,30.000,1.132,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.590,30.000,1.075,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.647,29.674,0.940,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.703,28.571,0.729,0.000,0.000,0.000,0.000,IDLE,None,0
1766438672.760,26.328,0.462,0.000,0.000,0.405,0.405,IDLE,None,0
1766438672.816,23.271,0.078,0.000,0.000,2.803,1.500,IDLE,None,0
1766438672.873,20.091,-0.455,0.000,0.000,2.597,1.500,IDLE,None,0
1766438672.929,16.507,-0.968,0.000,0.000,3.014,1.500,IDLE,None,0
1766438672.985,13.445,-1.183,0.000,0.000,2.176,1.500,IDLE,None,0
1766438673.041,11.033,-1.086,0.000,0.000,1.604,1.500,IDLE,None,0
1766438673.097,9.047,-0.653,0.000,0.000,1.357,1.500,IDLE,None,0
1766438673.153,7.351,0.012,0.000,0.000,1.232,1.500,IDLE,None,0
1766438673.210,5.760,0.897,0.000,0.000,1.250,1.500,IDLE,None,0
1766438673.266,3.287,1.647,0.000,0.000,2.393,1.500,IDLE,None,0
1766438673.323,0.759,2.011,0.000,0.000,1.979,1.500,IDLE,None,0
1766438673.379,-1.267,1.983,0.000,0.000,1.393,1.500,IDLE,None,0
1766438673.435,-3.390,1.690,0.000,0.000,1.734,1.500,IDLE,None,0
1766438673.491,-5.821,1.476,0.000,0.000,2.085,1.500,IDLE,None,0
1766438673.548,-7.912,1.268,0.000,0.000,1.498,1.500,IDLE,None,0
1766438673.604,-9.529,1.082,0.000,0.000,1.063,1.500,IDLE,None,0
1766438673.660,-11.183,1.063,0.000,0.000,1.303,1.500,IDLE,None,0
1766438673.716,-13.104,1.278,0.000,0.000,1.704,1.500,IDLE,None,0
1766438673.773,-15.322,1.934,0.000,0.000,1.941,1.500,IDLE,None,0
1766438673.829,-17.169,2.837,0.000,0.000,1.230,1.500,IDLE,None,0
1766438673.886,-18.754,3.719,0.000,0.000,1.147,1.500,IDLE,None,0
1766438673.943,-21.097,4.423,0.000,0.000,2.196,1.500,IDLE,None,0
1766438673.998,-23.814,5.191,0.000,0.000,1.897,1.500,IDLE,None,0
1766438674.056,-26.715,6.109,0.000,0.000,0.000,1.500,IDLE,None,0
1766438674.112,-28.947,6.971,0.000,0.000,0.000,1.500,IDLE,None,0
1766438674.169,-30.000,7.822,0.000,0.000,0.000,1.500,IDLE,None,0
1766438674.225,-29.972,8.793,0.000,0.000,0.000,1.500,IDLE,None,0
1766438674.281,-29.067,9.718,0.000,0.000,0.000,0.595,IDLE,None,0
1766438674.338,-27.639,10.320,0.000,0.000,0.000,0.000,IDLE,None,0
1766438674.394,-25.719,10.071,0.000,0.000,0.462,0.462,IDLE,None,0
1766438674.450,-23.784,8.819,0.000,0.000,1.535,1.500,IDLE,None,0
1766438674.509,-22.004,6.579,0.000,0.000,1.344,1.379,IDLE,None,0
1766438674.565,-20.206,3.747,0.000,0.000,1.402,1.402,IDLE,None,0
1766438674.622,-17.657,0.479,0.000,0.000,2.439,1.500,IDLE,None,0
1766438674.679,-14.988,-2.973,0.000,0.000,2.139,1.500,IDLE,None,0
1766438674.735,-12.565,-6.505,0.000,0.000,1.828,1.500,IDLE,None,0
1766438674.791,-10.681,-9.873,0.000,0.000,1.240,1.500,IDLE,None,0
1766438674.847,-8.518,-12.856,0.000,0.000,1.875,1.500,IDLE,None,0
1766438674.903,-5.901,-15.133,0.000,0.000,2.317,1.500,IDLE,None,0
1766438674.960,-3.838,-16.504,0.000,0.000,1.345,1.500,IDLE,None,0
1766438675.016,-2.163,-17.067,0.000,0.000,1.132,1.500,IDLE,None,0
1766438675.072,-0.565,-17.363,0.000,0.000,1.257,1.500,IDLE,None,0
1766438675.129,0.452,-17.733,0.000,0.000,0.518,1.500,IDLE,None,0
1766438675.186,1.140,-18.651,0.000,0.000,0.398,1.488,IDLE,None,0
1766438675.242,1.311,-20.119,0.000,0.000,0.069,0.069,IDLE,None,0
1766438675.299,0.602,-21.989,0.000,0.000,1.062,1.062,IDLE,None,0
1766438675.355,0.439,-24.001,0.000,0.000,0.147,0.147,IDLE,None,0
1766438675.411,0.516,-25.847,0.000,0.000,0.211,0.211,IDLE,None,0
1766438675.468,0.524,-27.457,0.000,0.000,0.037,0.000,IDLE,None,0
1766438675.524,0.746,-28.649,0.000,0.000,0.284,0.246,IDLE,None,0
1766438675.580,0.924,-28.992,0.000,0.000,0.115,0.115,IDLE,None,0
1766438675.637,1.077,-28.481,0.000,0.000,0.092,0.092,IDLE,None,0
1766438675.693,1.370,-27.284,0.000,0.000,0.285,0.285,IDLE,None,0
1766438675.749,1.832,-25.411,0.000,0.000,0.487,0.487,IDLE,None,0
1766438675.806,2.369,-22.653,0.000,0.000,0.525,0.525,IDLE,None,0
1766438675.863,2.923,-19.216,0.000,0.000,0.413,0.413,IDLE,None,0
1766438675.919,3.539,-15.421,0.000,0.000,0.515,0.515,IDLE,None,0
1766438675.975,3.705,-11.629,0.000,0.000,0.102,0.102,IDLE,None,0
1766438676.031,3.969,-8.139,0.000,0.000,0.264,0.264,IDLE,None,0
1766438676.087,4.151,-4.908,0.000,0.000,0.111,0.111,IDLE,None,0
1766438676.144,4.382,-2.070,0.000,0.000,0.210,0.210,IDLE,None,0
1766438676.200,4.226,0.394,0.000,0.000,0.320,0.320,IDLE,None,0
1766438676.257,3.996,2.737,0.000,0.000,0.217,0.217,IDLE,None,0
1766438676.313,3.879,5.156,0.000,0.000,0.023,0.000,IDLE,None,0
1766438676.369,3.921,7.787,0.000,0.000,0.033,0.056,IDLE,None,0
1766438676.426,4.196,10.700,0.000,0.000,0.347,0.347,IDLE,None,0
1766438676.483,4.273,13.881,0.000,0.000,0.011,0.000,IDLE,None,0
1766438676.540,4.010,17.030,0.000,0.000,0.416,0.428,IDLE,None,0
1766438676.597,3.593,19.745,0.000,0.000,0.399,0.399,IDLE,None,0
1766438676.653,3.397,21.673,0.000,0.000,0.055,0.055,IDLE,None,0
1766438676.709,3.276,22.625,0.000,0.000,0.022,0.000,IDLE,None,0
1766438676.765,3.230,22.763,0.000,0.000,0.004,0.000,IDLE,None,0
1766438676.822,3.180,22.285,0.000,0.000,0.040,0.058,IDLE,None,0
1766438676.878,3.155,21.464,0.000,0.000,0.020,0.000,IDLE,None,0
1766438676.936,3.191,20.413,0.000,0.000,0.029,0.000,IDLE,None,0
1766438676.992,3.151,19.352,0.000,0.000,0.032,0.000,IDLE,None,0
1766438677.048,2.852,18.271,0.000,0.000,0.422,0.445,IDLE,None,0
1766438677.105,2.088,17.197,0.000,0.000,0.841,0.841,IDLE,None,0
1766438677.162,0.963,16.253,0.000,0.000,1.087,1.087,IDLE,None,0
1766438677.218,0.491,15.271,0.000,0.000,0.051,0.051,IDLE,None,0
1766438677.275,0.892,14.640,0.000,0.000,0.873,0.873,IDLE,None,0
1766438677.331,1.095,14.335,0.000,0.000,0.008,0.000,IDLE,None,0
1766438677.387,1.093,14.000,0.000,0.000,0.167,0.160,IDLE,None,0
1766438677.444,0.752,13.414,0.000,0.000,0.416,0.416,IDLE,None,0
1766438677.500,0.276,12.375,0.000,0.000,0.395,0.395,IDLE,None,0
1766438677.557,-0.586,11.077,0.000,0.000,0.897,0.897,IDLE,None,0
1766438677.613,-1.347,9.591,0.000,0.000,0.577,0.577,IDLE,None,0
1766438677.670,-1.897,8.261,0.000,0.000,0.321,0.321,IDLE,None,0
1766438677.726,-2.880,7.381,0.000,0.000,0.992,0.992,IDLE,None,0
1766438677.782,-4.680,7.121,0.000,0.000,1.857,1.500,IDLE,None,0
1766438677.839,-6.686,7.545,0.000,0.000,1.704,1.500,IDLE,None,0
1766438677.896,-8.166,8.263,0.000,0.000,0.947,1.500,IDLE,None,0
1766438677.952,-9.180,9.256,0.000,0.000,0.562,0.571,IDLE,None,0
1766438678.008,-9.705,10.493,0.000,0.000,0.198,0.198,IDLE,None,0
1766438678.065,-10.231,12.448,0.000,0.000,0.435,0.435,IDLE,None,0
1766438678.121,-11.811,14.787,0.000,0.000,1.819,1.500,IDLE,None,0
1766438678.177,-14.560,17.009,0.000,0.000,2.774,1.500,IDLE,None,0
1766438678.234,-16.564,18.693,0.000,0.000,1.211,1.500,IDLE,None,0
1766438678.290,-16.990,19.559,0.000,0.000,0.472,0.832,IDLE,None,0
1766438678.347,-16.129,19.840,0.000,0.000,1.364,1.364,IDLE,None,0
1766438678.403,-15.204,19.779,0.000,0.000,0.786,0.786,IDLE,None,0
1766438678.460,-15.146,19.779,0.000,0.000,0.468,0.468,IDLE,None,0
1766438678.517,-14.968,19.950,0.000,0.000,0.308,0.308,IDLE,None,0
1766438678.573,-13.931,20.139,0.000,0.000,1.350,1.350,IDLE,None,0
1766438678.630,-13.161,20.636,0.000,0.000,0.405,0.405,IDLE,None,0
1766438678.686,-14.110,21.729,0.000,0.000,1.657,1.500,IDLE,None,0
1766438678.742,-15.410,23.405,0.000,0.000,1.206,1.363,IDLE,None,0
1766438678.799,-14.537,23.982,0.000,0.000,1.547,1.500,IDLE,None,1
1766438678.855,-13.921,24.876,0.000,0.000,0.544,0.591,IDLE,None,1
1766438678.911,-13.534,26.044,0.000,0.000,0.481,0.481,IDLE,None,1
1766438678.967,-13.428,27.161,0.000,0.000,0.326,0.326,IDLE,None,1
1766438679.024,-12.658,27.529,0.000,0.000,0.879,0.879,IDLE,None,1
1766438679.080,-11.100,26.984,0.000,0.000,1.181,1.181,IDLE,None,0
1766438679.137,-9.942,25.660,0.000,0.000,0.661,0.661,IDLE,None,0
1766438679.193,-9.348,23.866,0.000,0.000,0.205,0.205,IDLE,None,0
1766438679.249,-8.329,21.772,0.000,0.000,1.030,1.030,IDLE,None,0
1766438679.305,-6.910,19.619,0.000,0.000,1.374,1.374,IDLE,None,0
1766438679.362,-5.833,17.591,0.000,0.000,0.625,0.625,IDLE,None,0
1766438679.418,-5.161,15.635,0.000,0.000,0.320,0.320,IDLE,None,0
1766438679.475,-4.656,13.703,0.000,0.000,0.306,0.306,IDLE,None,0
