t,roll,pitch,dz_fl,dz_fr,dz_rl,dz_rr
0.0103,0.024,-0.108,0.0,0.0,0.0,0.0
0.0436,0.018,-0.111,0.0,0.0,0.0,0.0
0.0763,0.018,-0.12,0.0,0.0,0.0,0.0
0.1069,0.01,-0.123,0.0,0.0,0.0,0.0
0.1373,-0.0,-0.123,0.0,0.0,0.0,0.0
0.1687,-0.013,-0.115,0.0,0.0,0.0,0.0
0.2017,-0.004,-0.12,0.0,0.0,0.0,0.0
0.232,0.012,-0.137,0.0,0.0,0.0,0.0
0.265,0.024,-0.153,0.0,0.0,0.0,0.0
0.2951,0.028,-0.165,0.0,0.0,0.0,0.0
0.3253,0.029,-0.166,0.0,0.0,0.0,0.0
0.358,0.007,-0.167,0.0,0.0,0.0,0.0
0.388,-0.035,-0.178,0.0,0.0,0.0,0.0
0.4189,-0.081,-0.203,0.0,0.0,0.0,0.0
0.4517,-0.103,-0.227,0.0,0.0,0.0,0.0
0.4819,-0.111,-0.259,0.0,0.0,0.0,0.0
0.5127,-0.107,-0.289,0.0,0.0,0.0,0.0
0.5456,-0.095,-0.312,0.0,0.0,0.0,0.0
0.5758,-0.096,-0.331,0.0,0.0,0.0,0.0
0.6067,-0.09,-0.35,0.0,0.0,0.0,0.0
0.6368,-0.086,-0.345,0.0,0.0,0.0,0.0
0.6695,-0.092,-0.333,0.0,0.0,0.0,0.0
0.701,-0.097,-0.314,0.0,0.0,0.0,0.0
0.731,-0.106,-0.294,0.0,0.0,0.0,0.0
0.7612,-0.102,-0.277,0.0,0.0,0.0,0.0
0.7917,-0.086,-0.262,0.0,0.0,0.0,0.0
0.8246,-0.061,-0.257,0.0,0.0,0.0,0.0
0.8547,-0.033,-0.249,0.0,0.0,0.0,0.0
0.8854,-0.014,-0.239,0.0,0.0,0.0,0.0
0.9156,0.005,-0.227,0.0,0.0,0.0,0.0
0.9482,0.029,-0.216,0.0,0.0,0.0,0.0
0.9802,0.048,-0.204,0.0,0.0,0.0,0.0
1.011,0.059,-0.188,0.0,0.0,0.0,0.0
1.0439,0.066,-0.163,0.0,0.0,0.0,0.0
1.0768,0.081,-0.142,0.0,0.0,0.0,0.0
1.1071,0.101,-0.128,0.0,0.0,0.0,0.0
1.1372,0.122,-0.125,0.0,0.0,0.0,0.0
1.17,0.154,-0.129,0.0,0.0,0.0,0.0
1.2,0.175,-0.131,0.0,0.0,0.0,0.0
1.2303,0.188,-0.121,0.0,0.0,0.0,0.0
1.2632,0.183,-0.121,0.0,0.0,0.0,0.0
1.2933,0.156,-0.133,0.0,0.0,0.0,0.0
1.3238,0.128,-0.145,0.0,0.0,0.0,0.0
1.3563,0.105,-0.156,0.0,0.0,0.0,0.0
1.3864,0.095,-0.163,0.0,0.0,0.0,0.0
1.4168,0.089,-0.169,0.0,0.0,0.0,0.0
1.4484,0.084,-0.169,0.0,0.0,0.0,0.0
1.4812,0.084,-0.166,0.0,0.0,0.0,0.0
1.5127,0.078,-0.165,0.0,0.0,0.0,0.0
1.5457,0.077,-0.156,0.0,0.0,0.0,0.0
1.5757,0.088,-0.147,0.0,0.0,0.0,0.0
1.6065,0.103,-0.142,0.0,0.0,0.0,0.0
1.6365,0.122,-0.138,0.0,0.0,0.0,0.0
1.6666,0.144,-0.133,0.0,0.0,0.0,0.0
1.6974,0.164,-0.127,0.0,0.0,0.0,0.0
1.7276,0.182,-0.117,0.0,0.0,0.0,0.0
1.7575,0.208,-0.089,0.0,0.0,0.0,0.0
1.7875,0.24,-0.05,0.0,0.0,0.0,0.0
1.8205,0.275,0.005,0.0,0.0,0.0,0.0
1.8506,0.317,0.064,0.0,0.0,0.0,0.0
1.8807,0.347,0.121,0.0,0.0,0.0,0.0
1.9139,0.383,0.162,0.0,0.0,0.0,0.0
1.9441,0.423,0.215,0.0,0.0,0.0,0.0
1.9746,0.447,0.254,0.0,0.0,0.0,0.0
2.0074,0.488,0.296,0.0,0.0,0.0,0.0
2.0375,0.539,0.347,-0.00029,0.00029,-0.00029,0.00029
2.0692,0.579,0.396,-0.0006,0.0006,-0.0006,0.0006
2.0998,0.599,0.431,-0.00092,0.00092,-0.00092,0.00092
2.1331,0.616,0.403,-0.00124,0.00124,-0.00124,0.00124
2.1654,0.651,0.464,-0.00159,0.00159,-0.00159,0.00159
2.1955,0.676,0.572,-0.00171,0.0022,-0.0022,0.00171
2.2256,0.62,0.602,-0.00178,0.00278,-0.00278,0.00178
2.2573,0.576,0.663,-0.00181,0.00337,-0.00337,0.00181
2.2874,0.528,0.782,-0.00175,0.00399,-0.00399,0.00175
2.3174,0.437,0.82,-0.0014,0.00434,-0.00434,0.0014
2.3487,0.394,0.857,-0.00104,0.0047,-0.0047,0.00104
2.3787,0.348,0.952,-0.00063,0.00511,-0.00511,0.00063
2.409,0.279,0.972,-0.00022,0.00553,-0.00553,0.00022
2.4399,0.255,0.955,0.00019,0.00593,-0.00593,-0.00019
2.4728,0.215,0.861,0.00056,0.0063,-0.0063,-0.00056
2.5032,0.18,0.789,0.00089,0.00664,-0.00664,-0.00089
2.5342,0.268,0.753,0.00121,0.00696,-0.00696,-0.00121
2.5647,0.337,0.69,0.00151,0.00725,-0.00725,-0.00151
2.5975,0.333,0.701,0.00181,0.00755,-0.00755,-0.00181
2.63,0.331,0.676,0.0021,0.00784,-0.00784,-0.0021
2.6601,0.358,0.544,0.00233,0.00807,-0.00807,-0.00233
2.6902,0.408,0.568,0.00257,0.00831,-0.00831,-0.00257
2.7224,0.413,0.595,0.00283,0.00857,-0.00857,-0.00283
2.7525,0.402,0.544,0.00306,0.0088,-0.0088,-0.00306
2.7826,0.418,0.521,0.00328,0.00902,-0.00902,-0.00328
2.8144,0.447,0.487,0.00328,0.00902,-0.00902,-0.00328
2.8448,0.506,0.413,0.00301,0.00929,-0.00929,-0.00301
2.8748,0.59,0.481,0.0027,0.00961,-0.00961,-0.0027
2.9059,0.578,0.413,0.00239,0.00992,-0.00992,-0.00239
2.936,0.59,0.453,0.00207,0.01023,-0.01023,-0.00207
2.9688,0.646,0.447,0.00173,0.01058,-0.01058,-0.00173
3.0014,0.736,0.474,0.00134,0.01097,-0.01097,-0.00134
3.0315,0.825,0.471,0.0009,0.01141,-0.01141,-0.0009
3.0619,0.837,0.541,0.00068,0.01208,-0.01208,-0.00068
3.0928,0.711,0.495,0.0003,0.01246,-0.01246,-0.0003
3.1257,0.631,0.566,0.00021,0.01304,-0.01304,-0.00021
3.1558,0.559,0.535,0.00014,0.01357,-0.01357,-0.00014
3.1877,0.441,0.53,0.00036,0.01379,-0.01379,-0.00036
3.2177,0.376,0.553,0.0006,0.01403,-0.01403,-0.0006
3.2478,0.375,0.644,0.00087,0.01431,-0.01431,-0.00087
3.2804,0.237,0.619,0.00114,0.01457,-0.01457,-0.00114
3.3106,0.144,0.622,0.0014,0.01484,-0.01484,-0.0014
3.3429,0.097,0.636,0.00167,0.01511,-0.01511,-0.00167
3.3745,0.053,0.611,0.00193,0.01537,-0.01537,-0.00193
3.4047,0.065,0.605,0.00219,0.01563,-0.01563,-0.00219
3.4348,0.065,0.644,0.00247,0.0159,-0.0159,-0.00247
3.4664,0.138,0.589,0.00272,0.01615,-0.01615,-0.00272
3.4967,0.157,0.589,0.00297,0.0164,-0.0164,-0.00297
3.5266,0.164,0.705,0.00327,0.0167,-0.0167,-0.00327
3.5591,0.257,0.68,0.00356,0.01699,-0.01699,-0.00356
3.5892,0.341,0.457,0.00356,0.01699,-0.01699,-0.00356
3.6193,0.473,0.349,0.00356,0.01699,-0.01699,-0.00356
3.6516,0.621,0.258,0.00323,0.01733,-0.01733,-0.00323
3.6817,0.753,0.213,0.00283,0.01773,-0.01773,-0.00283
3.712,0.824,0.052,0.00239,0.01817,-0.01817,-0.00239
3.743,0.935,-0.054,0.00189,0.01866,-0.01866,-0.00189
3.7733,0.994,-0.162,0.00136,0.01919,-0.01919,-0.00136
3.8037,1.024,-0.297,0.00081,0.01974,-0.01974,-0.00081
3.8344,0.982,-0.295,0.00029,0.02026,-0.02026,-0.00029
3.8674,0.864,-0.331,-0.00017,0.02073,-0.02073,0.00017
3.8977,0.782,-0.34,-0.00059,0.02114,-0.02114,0.00059
3.93,0.648,-0.495,-0.00093,0.02149,-0.02149,0.00093
3.96,0.555,-0.42,-0.00123,0.02178,-0.02178,0.00123
3.99,0.385,-0.485,-0.00123,0.02178,-0.02178,0.00123
4.0219,0.243,-0.562,-0.00147,0.02154,-0.02154,0.00147
4.0525,0.094,-0.619,-0.00173,0.02128,-0.02128,0.00173
4.0857,-0.086,-0.767,-0.00206,0.02095,-0.02095,0.00206
4.1175,-0.206,-0.822,-0.00241,0.0206,-0.0206,0.00241
4.1513,-0.268,-0.875,-0.00278,0.02023,-0.02023,0.00278
4.1827,-0.35,-0.948,-0.00319,0.01983,-0.01983,0.00319
4.2158,-0.434,-0.945,-0.00359,0.01942,-0.01942,0.00359
4.2461,-0.525,-1.003,-0.00374,0.01871,-0.01871,0.00374
4.2796,-0.421,-0.954,-0.00415,0.01831,-0.01831,0.00415
4.3129,-0.35,-0.985,-0.00457,0.01789,-0.01789,0.00457
4.3446,-0.25,-1.034,-0.00501,0.01745,-0.01745,0.00501
4.3769,-0.243,-1.095,-0.00548,0.01698,-0.01698,0.00548
4.4071,-0.128,-1.024,-0.00591,0.01654,-0.01654,0.00591
4.4379,-0.084,-1.022,-0.00635,0.0161,-0.0161,0.00635
4.4685,-0.077,-1.025,-0.00679,0.01567,-0.01567,0.00679
4.5016,-0.028,-0.927,-0.00718,0.01527,-0.01527,0.00718
4.5344,0.048,-0.831,-0.00754,0.01492,-0.01492,0.00754
4.5683,0.02,-0.841,-0.00789,0.01456,-0.01456,0.00789
4.6003,-0.078,-0.773,-0.00822,0.01423,-0.01423,0.00822
4.6335,-0.108,-0.727,-0.00853,0.01392,-0.01392,0.00853
4.6642,-0.082,-0.667,-0.00882,0.01363,-0.01363,0.00882
4.6959,-0.152,-0.512,-0.00904,0.01342,-0.01342,0.00904
4.7265,-0.149,-0.458,-0.00904,0.01342,-0.01342,0.00904
4.7573,-0.009,-0.37,-0.00904,0.01342,-0.01342,0.00904
4.7875,0.084,-0.345,-0.00904,0.01342,-0.01342,0.00904
4.8202,0.127,-0.308,-0.00904,0.01342,-0.01342,0.00904
4.8502,0.142,-0.345,-0.00904,0.01342,-0.01342,0.00904
4.8828,0.193,-0.39,-0.00904,0.01342,-0.01342,0.00904
4.9133,0.261,-0.43,-0.00904,0.01342,-0.01342,0.00904
4.9437,0.316,-0.48,-0.00904,0.01342,-0.01342,0.00904
4.9766,0.34,-0.552,-0.00927,0.01318,-0.01318,0.00927
5.0066,0.34,-0.653,-0.00955,0.0129,-0.0129,0.00955
5.0365,0.31,-0.752,-0.00987,0.01258,-0.01258,0.00987
5.0676,0.292,-0.797,-0.01021,0.01224,-0.01224,0.01021
5.0984,0.271,-0.854,-0.01058,0.01188,-0.01188,0.01058
5.1311,0.23,-0.908,-0.01096,0.01149,-0.01149,0.01096
5.1626,0.215,-0.996,-0.01139,0.01106,-0.01106,0.01139
5.1933,0.193,-1.003,-0.01182,0.01064,-0.01064,0.01182
5.2238,0.113,-1.007,-0.01225,0.01021,-0.01021,0.01225
5.257,0.077,-1.098,-0.01272,0.00974,-0.00974,0.01272
5.2874,0.062,-1.165,-0.01321,0.00924,-0.00924,0.01321
5.319,-0.008,-1.04,-0.01366,0.0088,-0.0088,0.01366
5.3524,-0.045,-0.934,-0.01406,0.0084,-0.0084,0.01406
5.3826,-0.057,-0.915,-0.01445,0.00801,-0.00801,0.01445
5.4136,-0.132,-0.86,-0.01481,0.00764,-0.00764,0.01481
5.4439,-0.14,-0.934,-0.01521,0.00724,-0.00724,0.01521
5.4783,-0.043,-0.948,-0.01562,0.00684,-0.00684,0.01562
5.511,-0.062,-0.95,-0.01602,0.00643,-0.00643,0.01602
5.5412,-0.174,-0.846,-0.01638,0.00607,-0.00607,0.01638
5.5714,-0.152,-0.854,-0.01675,0.00571,-0.00571,0.01675
5.6046,-0.052,-0.882,-0.01712,0.00533,-0.00533,0.01712
5.6352,-0.076,-0.913,-0.01751,0.00494,-0.00494,0.01751
5.6657,-0.102,-1.006,-0.01794,0.00451,-0.00451,0.01794
5.7002,-0.101,-0.908,-0.01833,0.00412,-0.00412,0.01833
5.7327,-0.077,-0.871,-0.0187,0.00375,-0.00375,0.0187
5.7668,-0.162,-0.835,-0.01906,0.0034,-0.0034,0.01906
5.8008,-0.19,-0.849,-0.01942,0.00303,-0.00303,0.01942
5.8337,-0.084,-0.915,-0.01981,0.00264,-0.00264,0.01981
5.8648,-0.023,-0.992,-0.02023,0.00222,-0.00222,0.02023
5.8964,-0.165,-0.972,-0.02065,0.00181,-0.00181,0.02065
5.9277,-0.262,-1.024,-0.02108,0.00137,-0.00137,0.02108
5.9587,-0.257,-1.041,-0.02153,0.00093,-0.00093,0.02153
5.9897,-0.306,-1.072,-0.02199,0.00047,-0.00047,0.02199
6.0224,-0.397,-1.197,-0.0225,-4e-05,4e-05,0.0225
6.0539,-0.41,-1.232,-0.02302,-0.00057,0.00057,0.02302
6.0859,-0.544,-1.249,-0.02327,-0.00139,0.00139,0.02327
6.1193,-0.765,-1.295,-0.02341,-0.00235,0.00235,0.02341
6.1508,-0.864,-1.265,-0.02349,-0.00335,0.00335,0.02349
6.1844,-1.006,-1.236,-0.02348,-0.00442,0.00442,0.02348
6.2157,-1.094,-1.148,-0.02339,-0.00549,0.00549,0.02339
6.2467,-1.142,-1.074,-0.02323,-0.00656,0.00656,0.02323
6.28,-1.238,-0.973,-0.02299,-0.00763,0.00763,0.02299
6.3106,-1.347,-0.89,-0.02265,-0.00873,0.00873,0.02265
6.3419,-1.266,-0.776,-0.02231,-0.00974,0.00974,0.02231
6.3761,-1.167,-0.756,-0.02201,-0.01068,0.01068,0.02201
6.4085,-1.199,-0.602,-0.02162,-0.01158,0.01158,0.02162
6.4421,-1.123,-0.513,-0.02124,-0.0124,0.0124,0.02124
6.4726,-0.916,-0.607,-0.02101,-0.01314,0.01314,0.02101
6.5043,-0.741,-0.605,-0.02088,-0.0138,0.0138,0.02088
6.537,-0.626,-0.638,-0.02082,-0.0144,0.0144,0.02082
